student_id,name,city,age
21,Tariq,Lahore,17
22,Fatima,Peshawar,15
23,Junaid,Quetta,17
24,Zainab,Multan,14
25,Asad,Karachi,19
26,Mariam,Faisalabad,19
27,Shahid,Gujranwala,16
28,Farah,Peshawar,18
29,Imran,Faisalabad,15
30,Sana2,Rawalpindi,18
31,Salman,Quetta,14
32,Nimra,Rawalpindi,19
33,Faizan,Islamabad,16
34,Warda,Multan,19
35,Danish,Islamabad,18
36,Anum,Faisalabad,18
37,Rizwan,Sialkot,15
38,Sobia,Sialkot,15
39,Arslan,Multan,16
40,Komal,Gujranwala,15
41,Khurram,Quetta,18
42,Saba,Gujranwala,18
43,Yasir,Quetta,14
44,Hira,Peshawar,18
45,Adil,Faisalabad,16
46,Uzma,Islamabad,17
47,Rehan,Sialkot,14
48,Maria,Rawalpindi,14
49,Fahad,Karachi,16
50,Nadia,Lahore,16
51,Extra_0,Karachi,15
52,Extra_1,Islamabad,14
53,Extra_2,Islamabad,15
54,Extra_3,Quetta,18
55,Extra_4,Gujranwala,14
56,Extra_5,Karachi,14
57,Extra_6,Quetta,19
58,Extra_7,Quetta,17
59,Extra_8,Gujranwala,14
60,Extra_9,Rawalpindi,18
61,Extra_10,Sialkot,15
62,Extra_11,Multan,15
63,Extra_12,Sialkot,19
64,Extra_13,Lahore,17
65,Extra_14,Karachi,18
66,Extra_15,Sialkot,15
67,Extra_16,Multan,16
68,Extra_17,Peshawar,18
69,Extra_18,Karachi,18
70,Extra_19,Multan,17
